pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa21,cty,ced,laua,ward,nhser,ctry,rgn,pcon,ttwa,itl,npark,lsoa21,msoa21,wz11,sicbl,bua22,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,icb
AB1 1LZ,AB1  1LZ,AB1 1LZ,199512,199606,0,393782,806659,1,S00090523,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006648,S02001261,S34003052,S03000012,S99999999,1,2B1,57.150768,-2.104406,S99999999,,S23000009,3506,S99999999
AB1 1NA,AB1  1NA,AB1 1NA,198001,199606,0,393757,806795,1,S00090524,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006648,S02001261,S34003052,S03000012,S99999999,1,2B1,57.151989,-2.104823,S99999999,,S23000009,3506,S99999999
AB1 1NB,AB1  1NB,AB1 1NB,198001,199606,0,393727,806824,1,S00090330,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000001,S22000047,S30000026,S99999999,S01006648,S02001261,S34002979,S03000012,S99999999,1,2C2,57.152249,-2.105319,S99999999,,S23000009,3506,S99999999
AB1 1ND,AB1  1ND,AB1 1ND,199410,199606,0,393523,806887,1,S00090330,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000001,S22000047,S30000026,S99999999,S01006648,S02001261,S34002979,S03000012,S99999999,1,2C2,57.152812,-2.108693,S99999999,,S23000009,3506,S99999999
AB1 1NE,AB1  1NE,AB1 1NE,198001,199606,0,393617,806307,1,S00090902,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34003020,S03000012,S99999999,1,2B1,57.147603,-2.107124,S99999999,,S23000009,3228,S99999999
AB1 1NG,AB1  1NG,AB1 1NG,197308,199111,0,393390,806370,8,S00090517,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006564,S02001246,S34003020,S03000012,S99999999,1,7A2,57.148166,-2.110877,S99999999,,S23000009,3336,S99999999
AB1 1NH,AB1  1NH,AB1 1NH,198001,199606,0,393450,806420,8,S00088983,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34003035,S03000012,S99999999,1,7B2,57.148616,-2.109887,S99999999,,S23000009,3228,S99999999
AB1 1NJ,AB1  1NJ,AB1 1NJ,198001,199606,0,393859,806121,1,S00090516,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34000026,S03000012,S99999999,1,2B2,57.145936,-2.10312,S99999999,,S23000009,3228,S99999999
AB1 1NL,AB1  1NL,AB1 1NL,198001,199606,0,393789,806187,1,S00090516,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34000026,S03000012,S99999999,1,2B2,57.146528,-2.104278,S99999999,,S23000009,3228,S99999999
AB1 1NN,AB1  1NN,AB1 1NN,198001,199606,0,393726,806260,1,S00090516,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34000026,S03000012,S99999999,1,2B2,57.147183,-2.105321,S99999999,,S23000009,3228,S99999999
AB1 1NP,AB1  1NP,AB1 1NP,198001,199606,0,393699,806297,1,S00090515,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34000024,S03000012,S99999999,1,2B1,57.147515,-2.105769,S99999999,,S23000009,3228,S99999999
AB1 1NQ,AB1  1NQ,AB1 1NQ,198001,199606,0,393567,806332,1,S00090902,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34003020,S03000012,S99999999,1,2B1,57.147827,-2.107951,S99999999,,S23000009,3228,S99999999
AB1 1NR,AB1  1NR,AB1 1NR,198001,199606,0,393505,806373,1,S00090518,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006564,S02001246,S34003020,S03000012,S99999999,1,2B1,57.148195,-2.108977,S99999999,,S23000009,3336,S99999999
AB1 1NS,AB1  1NS,AB1 1NS,198001,199606,0,393470,806396,1,S00090518,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006564,S02001246,S34003020,S03000012,S99999999,1,2B1,57.148401,-2.109556,S99999999,,S23000009,3336,S99999999
AB1 1NT,AB1  1NT,AB1 1NT,198001,199606,0,393525,806392,1,S00090327,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34003035,S03000012,S99999999,1,2B1,57.148366,-2.108647,S99999999,,S23000009,3228,S99999999
AB1 1NU,AB1  1NU,AB1 1NU,198001,199606,0,393495,806417,1,S00090327,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34003035,S03000012,S99999999,1,2B1,57.14859,-2.109143,S99999999,,S23000009,3228,S99999999
AB1 1NX,AB1  1NX,AB1 1NX,198001,199606,0,393451,806455,1,S00090327,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34003035,S03000012,S99999999,1,2B1,57.14893,-2.109871,S99999999,,S23000009,3228,S99999999
AB1 1NY,AB1  1NY,AB1 1NY,198302,199111,0,393540,806360,8,S00090518,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006564,S02001246,S34003020,S03000012,S99999999,1,2B1,57.148078,-2.108398,S99999999,,S23000009,3336,S99999999
AB1 1PB,AB1  1PB,AB1 1PB,197308,199111,0,393430,806370,8,S00090517,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006564,S02001246,S34003020,S03000012,S99999999,1,7A2,57.148167,-2.110216,S99999999,,S23000009,3336,S99999999
AB1 1PD,AB1  1PD,AB1 1PD,198001,199606,0,393509,806369,1,S00090518,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006564,S02001246,S34003020,S03000012,S99999999,1,2B1,57.148159,-2.10891,S99999999,,S23000009,3336,S99999999
AB1 1PE,AB1  1PE,AB1 1PE,198001,199606,0,393279,806201,1,S00088975,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006584,S02001249,S34003033,S03000012,S99999999,1,2C1,57.146646,-2.112707,S99999999,,S23000009,6357,S99999999
AB1 1PF,AB1  1PF,AB1 1PF,198001,199606,0,393318,806265,1,S00090518,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006564,S02001246,S34003020,S03000012,S99999999,1,2B1,57.147222,-2.112064,S99999999,,S23000009,3336,S99999999
AB1 1PG,AB1  1PG,AB1 1PG,198001,199606,0,393412,806284,1,S00090518,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006564,S02001246,S34003020,S03000012,S99999999,1,2B1,57.147394,-2.110511,S99999999,,S23000009,3336,S99999999
AB1 1PJ,AB1  1PJ,AB1 1PJ,198001,199606,0,393570,806420,8,S00090520,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34003088,S03000012,S99999999,1,7D2,57.148618,-2.107904,S99999999,,S23000009,3228,S99999999
AB1 1PL,AB1  1PL,AB1 1PL,198001,199606,0,393494,806486,1,S00090327,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34003035,S03000012,S99999999,1,2B1,57.14921,-2.109161,S99999999,,S23000009,3228,S99999999
AB1 1PN,AB1  1PN,AB1 1PN,198001,199606,0,393527,806468,1,S00090520,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34003088,S03000012,S99999999,1,7D2,57.149048,-2.108616,S99999999,,S23000009,3228,S99999999
AB1 1PP,AB1  1PP,AB1 1PP,198001,199606,0,393538,806517,1,S00088985,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006565,S02001246,S34003088,S03000012,S99999999,1,2C2,57.149489,-2.108435,S99999999,,S23000009,3653,S99999999
AB1 1PQ,AB1  1PQ,AB1 1PQ,198001,199606,0,393596,806579,1,S00090521,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006648,S02001261,S34003088,S03000012,S99999999,1,2B1,57.150046,-2.107478,S99999999,,S23000009,3506,S99999999
AB1 1PR,AB1  1PR,AB1 1PR,198001,199606,0,393571,806514,1,S00088984,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006565,S02001246,S34003088,S03000012,S99999999,1,7B3,57.149462,-2.10789,S99999999,,S23000009,3653,S99999999
AB1 1PS,AB1  1PS,AB1 1PS,198001,199606,0,393596,806536,1,S00088984,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006565,S02001246,S34003088,S03000012,S99999999,1,7B3,57.14966,-2.107477,S99999999,,S23000009,3653,S99999999
AB1 1PT,AB1  1PT,AB1 1PT,198001,199606,0,393626,806542,1,S00090522,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006648,S02001261,S34003072,S03000012,S99999999,1,2C2,57.149714,-2.106981,S99999999,,S23000009,3506,S99999999
AB1 1PU,AB1  1PU,AB1 1PU,198001,199606,0,393627,806497,1,S00090522,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006648,S02001261,S34003072,S03000012,S99999999,1,2C2,57.14931,-2.106964,S99999999,,S23000009,3506,S99999999
AB1 1PX,AB1  1PX,AB1 1PX,198001,199606,0,393601,806495,1,S00090520,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34003088,S03000012,S99999999,1,7D2,57.149292,-2.107393,S99999999,,S23000009,3228,S99999999
AB1 1PY,AB1  1PY,AB1 1PY,198001,199606,0,393540,806483,1,S00090520,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34003088,S03000012,S99999999,1,7D2,57.149183,-2.108401,S99999999,,S23000009,3228,S99999999
AB1 1QA,AB1  1QA,AB1 1QA,197308,197705,0,393670,806350,8,S00090520,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34003088,S03000012,S99999999,1,7D2,57.14799,-2.106249,S99999999,,S23000009,3228,S99999999
AB1 1QB,AB1  1QB,AB1 1QB,198001,199606,0,393611,806424,1,S00090520,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34003088,S03000012,S99999999,1,7D2,57.148654,-2.107226,S99999999,,S23000009,3228,S99999999
AB1 1QD,AB1  1QD,AB1 1QD,198001,199606,0,393569,806308,1,S00090902,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34003020,S03000012,S99999999,1,2B1,57.147612,-2.107917,S99999999,,S23000009,3228,S99999999
AB1 1QE,AB1  1QE,AB1 1QE,198001,199606,0,393545,806324,1,S00090901,S99999999,S99999999,S12000033,S13002841,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006586,S02001249,S34003020,S03000012,S99999999,1,2B1,57.147755,-2.108314,S99999999,,S23000009,3228,S99999999
